"Allergens  Menu Items                                                                                                   Salt located on tables contain Salt, Dextrose, Potassium Iodide, Sodium Bicarbonate, Yellow Prussiate of Soda.  Salt used in kitchen is  Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda].   Mycoprotein is a old.(member of the fungi family. There have been rare cases of allergic reactin to products that contain Mycoprotein. Quorn™ is a Mycoprotein produced using a fermentation process very similar to brewing; the solid is harvested as opposed to the liquid. Processed in a facility that handles milk.                                     ",,Egg,Fish/ Shellfish,"Nitrites, Nitrate, Sodium Erythrobate, Carrageenan ",Corn in original form,"Corn Syrup, Corn Flour or meal, Corn Starch",Corn oil,Corn Variations,Vinegar,Milk/Dairy,MSG,Soybean  Oil,Soy Lecithin,Soy,Tree Nuts/Peanuts,Peanut oil,Capers,Sesame,"Wheat, Barley, Rye, Oats","Lima,lentil, Fava,                   black eyed peas,             garbanzo beans ",Mushroom, Yeast or Spice Extract ,Hydrolyzed Protein,Yeast,Nonorganic Cane Sugar,White Rice,Brown Rice,White Potato all forms,Mint,Cinnamon,Fruit,Cucumber,Tomato,Natural Flavor,Sunflower oil,Sunflower Lecithin,Sunflower Seed,Garlic,Onion,Bell Pepper,Turmeric,Mustard,Cocoa or Chocolate,Red Dye,Yellow Dye,Alcohol,Pork,Chicken,Beef,Turkey,Phenylketonurics,Ingredients,,,,,,,,,,,,,,,,,,,,,,,,
         Allergy Alerts                                                                                                                                                                                                                                      All deep fried items have cross contact risk                                                                    (All pasta has possible cross-contact w/eggs in manufacture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant]used in all areas.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desserts available on purple Cart in Home area for Gluten Free and Top 8 free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Sizzle%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Taco Shells and Bowls are Fried. All fried items have Cross contact with other allergens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Casa Del Sol%,,,,,,All Fried Items fried in same fryer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grilled Pineapple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pineapple, citric acid",,,,,,,,,,,,,,,,,,,,," Dole Packaged Sliced Pineapple [Pineapple, Pineapple Juice, Clarified Pineapple Juice from Concentrate (Water, Clarified Pineapple Juice Concentrate), Pineapple Juice from Concentrate (Water, Pineapple Juice Concentrate), and Citric Acid], Roseli Canola/Extra Virgin Olive Oil", , , , , , , , , , , , , , , ,,,,,,,,,
 Guacamole (1oz),,,,,,,,,distilled,,,,,,,,,,,,,,,,X,,,,,,avocado/citric acid,,,,,,,X,X,X,,,,,,,,,,,,"Del Pasado Western Guacamole [Hass Avocados, Tomatillos, Water, contains 2% or less of Onions, Salt, Jalapeno Peppers, Dehydrated Red Bell Peppers, Distilled Vinegar, Granulated Garlic, Cilantro, Dehydrated Onion, Garlic, Citric Acid (To Acidify), Spice, Sugar.]",,,,,,,,,,,,,,,,,,,,,,,,
Dill Pickle Slices,,,,,,,,X,distilled,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,#5,,,,,,,"Monarch Crinkle Cut Dill Pickle Chip [Cucumbers, Water, Vinegar, Salt, Contains Less Than 2% of Calcium Chloride, Potassium Sorbate (A Preservative), Natural Flavors, Polysorbate 80, Yellow 5.]",,,,,,,,,,,,,,,,,,,,,,,,
Kosher Dill Spear,,,,,,,,X,distilled,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,"Schwartz Kosher Dill Spear [Fresh Cucumbers, Water, Salt, contains less than 2% of Vinegar, Lactic Acid, Sodium Benzoate A Preservative, Natural Flavors, Polysorbate 80, Turmeric Extract Color.]",,,,,,,,,,,,,,,,,,,,,,,,
Pico de Gallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,"Packer Pico De Gallo [Tomato, Yellow Onions, Jalapenos, Cilantro]", , , , , , , , , , , , , , , , , , , ,,,,,
Grilled Mushrooms ,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Button Mushrooms, Roseli Canola/Extra Virgin Olive Oil",,,,,,,,,,,,,,,,,,,,,,,,
Grilled Onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,"Yellow Onions, Roseli Canola/Extra Virgin Olive Oil",,,,,,,,,,,,,,,,,,,,,,,,
Wright's Smoked Bacon,,,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,"Pork (Cured with Water, Salt, Sugar, Sodium Phosphate, Sodium Erythorbate, Sodium Nitrite)",,,,,,,,,,,,,,,,,,,,,,,,
Chili (not gluten free),,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,citric acid,,X,,,,,X,X,,,,,,,,,,X,,,"Texas Chili Co. Beef No Bean Chili [Beef Water, Tomato Puree (less than 2% of: Citric Acid), Oats, Seasoning (Spices, Salt, Dehydrated Garlic), Vegetable Protein Product (Soy Flour, Caramel Color), Dehydrated Onion, Caramel Color] Contains: Soy",,,,,,,,,,,,,,,,,,,,,,,,
Sides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russet Potato, Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda], Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant]   ",,,,,,,,,,,,,,,,,,,,,,,,
Potato Toppings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sour Cream,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glenview Farms Cultured All-Natural Sour Cream [Grade A Cultured Cream (Milk), Enzyme].  Contains: Milk",,,,,,,,,,,,,,,,,,,,,,,,
Shredded Cheddar Cheese,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,"Glenview Farms Shredded Mild Cheddar Cheese [Cheddar Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes, Annatto [Color]), Potato Starch and Powered Cellulose Added to Prevent Caking, Natamycin (A Natural Mold Inhibitor).] Contains: Milk",,,,,,,,,,,,,,,,,,,,,,,,
Green Onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,Green Onions,,,,,,,,,,,,,,,,,,,,,,,,
PC Butter,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glenview Farms Salted Sweet Cream Butter Chip [Pasteurized Cream (Milk), Salt.] Contains: Milk",,,,,,,,,,,,,,,,,,,,,,,,
Macaroni and Cheese ,,X,,,,X,,,,X,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stouffer’s Macaroni and Cheese [Blanched Macaroni Product (Water, Semolina, Egg Whites), Skim Milk, Water, Cheddar Cheese (Milk, Cheese Cultures, Salt, Enzymes, Annatto Color), Cheddar Club Cheese (Cheddar Cheese [Cultured Milk, Salt, Enzymes], Water, Salt, Annatto Color), Soybean Oil, 2% or Less of Bleached Wheat Flour, Modified Cornstarch, Sea Salt, Potassium Chloride, Whey, Mono- Diglycerides, Whey Protein Concentrate, Lactic Acid Blend (Lactic Acid, Calcium Lactate). Contains: Milk, Egg, Wheat Ingredients.]}",,,,,,,,,,,,,,,,,,,,,,,,
Steamed Broccoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broccoli Florets, Roseli Canola Extra Virgin Olive Oil",,,,,,,,,,,,,,,,,,,,,,,,
Baked Beans,,,,,,X,,X,,,,X,,,,,,,,,,,corn,,X,,,,,,,,,X,,,,X,X,,,,,,,,,,,,,"Allen’s Vegetarian Baked Bean [Prepared Navy Beans (Water, Navy Beans), Sugar, Brown Sugar, Corn Syrup, Salt, Dextrose, Seasoning Blend (Spices, Salt, Onion Powder, Hydrolyzed Corn Protein, Molasses, Natural Flavors, Garlic Powder, Soybean Oil, Paprika Extract (Color)), Modified Food Starch (Corn), Caramel Color. Contains: Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Borracho Beans (contains pork),,,,,,,,,,,,,,,,,,,X,,,,,X,,,,X,,,,,X,X,,,,,X,X,,,,,,,X,,,,,"Del Pasado Seasoned Borracho [Pinto Beans, Water, Lager Style Beer (Wheat) (Malts, Hops, Yeast, Water, Salt), Red Pepper, Jalapeno Pepper, Onion, Pork Belly, Chipotle Peppers, Salt, Cilantro, Tomato Paste, Cumin, Beer Flavor (Maltodextrin, Malted Barley, Hops, Yeast), Sugar, Potato Flour, Onion Powder, Spice, Natural Flavor, Green Bell Pepper Powder, Calcium Chloride]. Contains Wheat",,,,,,,,,,,,,,,,,,,,,,,,
Corn on Cob (3 oz.),,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monarch 3” Sweet Yellow Corn on Cob (Corn),,,,,,,,,,,,,,,,,,,,,,,,
All  fried battered items might not be out at the same time [All are a cross contact risk],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,
French Fry,,,,,,X,,X,,,,X,,,,,,,X,,,,,X,,,,X,,,,,,,X,,,X,X,,,,,,,,,,,,,"Lamb Weston ⅜” Battered Seasoned Straight Skin- On Extra Long French- Fry [Potatoes, Enriched Wheat Flour (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Vegetable Oil (Contains One or more of the Following: Canola, Palm, Soybean, Sunflower), Salt, Modified Corn Starch, Spices, Yellow Corn Meal, Garlic Powder, Leavening (Disodium Dihydrogen Pyrophosphate, Sodium Bicarbonate), Onion Powder, Dried Yeast, Oleoresin Paprika. Contains: Wheat], Deep Fried in Harvest Value Liquid Canola Oil [Canola Oil with TBHQ To Help Protect Flavor. Dimethylpolysiloxane, An Antifoaming Agent, added.], Contains Wheat, Soybean Oil ",,,,,,,,,,,,,,,,,,,,,,,,
Fried Okra,,,,,,X,,X,,X,,X,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,"Stilwell Heavy Cut Breaded Okra [Okra, Water, Wheat Flour, Yellow Corn Flour, contains 2% or Less: Salt, Dextrose, Soybean Oil, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Yeast, Paprika, Whey, Mustard.], Deep Fried in Canola Oil [Canola Oil with TBHQ to help protect flavor. Dimethylpolysiloxane, an antifoaming agent, added.]  Contains Milk, Wheat, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
Onion Rings,,,,,,X,,X,,X,,X,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,"Molly’s Kitchen Battered Onion Ring [Sweet Spanish Onions, Water, Bleached Wheat Flour, Yellow Corn Flour, Contains less than 2% of: Whey (Milk), Soy Flour, Dextrose, Leavening (Monocalcium Phosphate, Sodium Bicarbonate), Soybean Oil, Sugar, Salt, Polysorbate 80. Prefried In Vegetable Oil (Soybean and/or Canola)]. Deep Fried Harvest Value Canola Oil [Canola Oil with TBHQ to help protect flavor. Dimethylpolysiloxane, an antifoaming agent, added.] Contains: Wheat, Milk, Soy] ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%La Roma Pizza and Pasta% same every cycle ( all pasta excluding gluten free has possible contact with egg in production),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Items served made from items listed below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upon request Barilla Gluten Free Red Lentil Penne (4oz cooked),,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barilla Red Lentil Gluten- Free Penne Pasta Red Lentil Flour], Water. No Wheat Ingredients. Produced on a Dedicated Gluten Free Line], Water. No Wheat Ingredients. Produced on a Dedicated Gluten Free Line].",,,,,,,,,,,,,,,,,,,,,,,,
Spaghetti [Manufactured in A Facility That Uses Eggs],,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harvest Value 10” Spaghetti [Durum Wheat Semolina, Durum Wheat Flour, Niacin, Iron (Ferrous Sulfate), Thiamin Mononitrate, Riboflavin, Folic Acid], Water. Contains: Wheat Manufactured in A Facility That Uses Eggs",,,,,,,,,,,,,,,,,,,,,,,,
Fettucine (Wheat Manufactured in A Facility That Uses Eggs] ,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Roseli Fettucine [Durum Wheat Semolina, Enriched with Iron (Ferrous Sulfate) and B Vitamins (Niacin, Thiamin Mononitrate, Riboflavin, Folic Acid)], Water. Contains: Wheat. (Wheat Manufactured in A Facility That Uses Eggs",,,,,,,,,,,,,,,,,,,,,,,,
Penne,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barilla Penne Rigate Pasta [Semolina (Wheat), Durum Wheat Flour, Vitamin B3 Niacin, Iron Ferrous Sulfate, Vitamin B1 Thiamine Mononitrate, Vitamin B2 Riboflavin, Folic Acid], Water. Contains: Wheat",,,,,,,,,,,,,,,,,,,,,,,,
Ziti,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Roseli Ziti Pasta [Durum Wheat Semolina, Niacin, Iron (Ferrous Sulfate), Thiamin Mononitrate, Riboflavin, Folic Acid], Water. Contains: Wheat Manufactured in a Facility That Uses Egg",,,,,,,,,,,,,,,,,,,,,,,,
 Marinara (4.4 oz.),,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,lemon,,X,,,,,X,X,,,,,,,,,,,,,"Angela Mia Marinara [Tomato Puree, (Water, Tomato Paste), Tomatoes, High Fructose Corn Syrup, Less Than 2% Of: Extra Virgin Olive Oil, Garlic Powder, Salt, Corn Syrup, Dehydrated Onions, Lemon Juice, Spices, Citric Acid, Xanthan Gum, Natural Flavor.]", , , , , , , , , , , ,  , , , , ,  , , , ,,,,
Alfredo Sauce (2oz)(artificially flavored)(spices),,,,,,X,,,,X,,X,X,,,,,,X,,,,,,,,,,,,citric acid,,,,,,,,,,,,,,,,,,,,,"Angelia Mia Alfredo Sauce [Half And Half Cream (Cream, Milk), Water, Parmesan And Romano Cheeses (Pasteurized Part Skim Cow's Milk, Cheese Culture, Salt, Enzymes), Butter (Sweet Cream, Salt), Margarine (Liquid And Partially Hydrogenated Soybean Oil, Water, Salt, Vegetable Mono-And Diglycerides, Soy Lecithin, Sodium Benzoate, Citric Acid And Calcium Disodium Edta Added As Preservatives, Artificially Flavored, Colored With Beta Carotene, Vitamin A Palmitate Added), Modified Food Starch, Salt, Wheat Flour, Mono-Diglycerides And Datem, Spices, Garlic, Paprika, Turmeric. Contains Wheat, Milk, Soy ", , , , , , , , , , , , , , , , , , , , ,,,,
Fontanini Meatball (1oz ea) (2ea)(spices),,X,,,,,,X,distilled,X,,,,X,,,,,X,,,,,X,X,,,,,,citric acid,,,,,,,X,,,,,,,,,X,,X,,,"Fontanini 1oz Italian Style Meatball [BHA, BHT and Citric Acid added to Help Protect Flavor. Caramel Color Added. Ingredients: Beef, Pork, Water, Bread Crumbs (Wheat Flour, Salt, and Yeast), Romano Cheese (Pasteurized Cow's Milk, Cheese Cultures, Salt, Enzymes), Ricotta Cheese (Pasteurized Milk, Pasteurized Whey, Pasteurized Cream, Vinegar, Salt, Stabilizers [Xanthan Gum, Locust Bean Gum, Guar Gum)], Textured Vegetable Protein (Soy Protein Concentrate, Caramel Color), Liquid Egg Whites, Salt, Dried Garlic, Spices, Parsley, Brown Sugar, Caramel Color, Disodium Inosinate and Disodium Guanylate, BHA, BHT, Citric Acid]. Contains: Milk, Egg, Soy, Wheat",,,,,,,,,,,,,,,,,,,,,,,,
Italian Sausage,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,"Hillshire/Tyson Mild Sweet Italian Pork Sausage Crumbles [Pork, Water, Spices, Salt, Sugar, Flavoring.]",,,,,,,,,,,,,,,,,,,,,,,,
Garlic Bread ,,,,,,X,,X,,X,,X,X,X,,,,,X,,,,,X,X,,,,,,citric acid,,,X,,,,X,X,,,,,,,,,,,,,"Hilltop Hearth Garlic Texas Toast [Bread: Wheat Flour Enriched (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, contains 2% or less of: Soybean Oil, Yeast, Salt, Sugar, Soy Flour, Malted Barley Flour, Wheat Gluten, Dextrose, Vegetable Protein, Enzymes, Ascorbic Acid, Corn Meal. Spread: Vegetable Oil Blend (Soybean, Palm), Water, Garlic, contains 2% or less of: Salt, Natural Flavors, Sweet Cream Buttermilk, Onion Powder, Spice, Monoglycerides, Soy Lecithin, Lactic Acid, Citric Acid, Beta-Carotene (For Color). Contains: Wheat, Soy, Milk ",,,,,,,,,,,,,,,,,,,,,,,,
"White Garlic Roasted Ciabatta Breadstick processed in a Facility That Also Processes Milk, Eggs, Soy, Tree Nuts (Walnuts) and Sesame",,,,,,,,X,,,,X,,,,,,,X,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,"Hilltop Hearth White Roasted Garlic Ciabatta Breadstick [Enriched Unbleached Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Palm Oil, Soybean Oil, contains less than 2% of the following: Extra Virgin Olive Oil, Garlic Powder, Dehydrated Garlic, Salt, Yeast, Wheat Gluten, Sugar, Parsley, Olive Pomace Oil, Ascorbic Acid, Enzymes]. Contains: Wheat processed in a Facility That Also Processes Milk, Eggs, Soy, Tree Nuts (Walnuts) and Sesame",,,,,,,,,,,,,,,,,,,,,,,,
Cheese Stuffed Bread Stick,,,,X,,X,,X,,X,,X,,,,,,,X,,,spice,,X,X,,,,,,citric acid,,X,,,,,X,,,,,,,,,X,,X,,,"Bosco's 7"" Pepperoni & Mozzarella Whole Grain Breadstick [Crust: Flour Blend [Whole Wheat Flour, Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Enzyme, Folic Acid)], Water, Golden Brown Sugar (Sugar, Molasses), Corn Oil, Instant Yeast (Yeast, Sorbitan Monostearate), Salt. Cheese: Mozzarella Cheese (Pasteurized Milk, Nonfat Milk, Cultures, Salt, Enzymes). Sauce: Water, Tomato Paste, Seasoning [Sugar, Modified Corn Starch, Salt, Spices, Modified Cellulose, Garlic Powder, Dehydrated Blend of Romano Cheese (Part-Skim Cow's Milk, Cheese Culture, Salt, Enzymes), Sodium Phosphate, Contains Less Than 2% Silicon Dioxide (Anti-Caking Agent) and Refined Soybean Oil (Anti Dusting Agent)]. Pepperoni: Pork, Beef, Salt, Spices, Sugar, Lactic Acid Starter Culture, Extractive of Paprika, Garlic Powder, Spice Extractives, Sodium Nitrite, BHA, BHT and Citric Acid added to help protect flavor. Contains: Milk, Wheat",,,,,,,,,,,,,,,,,,,,,,,,
Pizza made from a variety of the items below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Gluten Free Seasoned  Pizza Crust (spices) (Made in a facility that contains Milk, Egg )",,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,citric acid,,,,,,,X,,,,,,,,,,,,,,"Venice Baking Gluten Free Seasoned Rice Pizza Crust [Rice Flour, Water, Potato Starch, Rice Starch, Tapioca Starch, Cane Sugar, Modified Rice Starch, Potato Flour, contains less than 2% of the following: Canola Oil, Yeast, Salt, Extra Virgin Olive Oil, Garlic Powder, Spices, Xanthan Gum, Cultured Brown Rice, Brown Rice Flour, Citric Acid, Lactic Acid]. May contain Milk, Egg & Soyben Oil ",,,,,,,,,,,,,,,,,,,,,,,,
  Garlic Pizza Crust ,,,,X,,X,,X,,,,X,X,,,,,,X,,,,,X,X,,,,,,citric acid,,,X,X,,,X,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , ,,,,
Pepperoni (1 oz.),,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,citrix acid,,,,,,,X,,,,,,,,,X,,X,,,"Hormel Pepperoni [BHA, BHT with Citric Acid Added to Help Protect Flavor Ingredients: Pork and Beef, Salt, Contains 2% or Less of Water, Dextrose, Spices, Lactic Acid Starter Culture, Oleoresin of Paprika, Garlic Powder, Sodium Nitrite, BHA, BHT, Citric Acid.]",,,,,,,,,,,,,,,,,,,,,,,,
Canadian Style Bacon,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,"Patuxent Farms Sliced Pork Canadian Style Bacon [Pork Cured with: Water, Salt, Sugar, Sodium Lactate, Sodium Phosphates, Sodium Diacetate, Sodium Ascorbate, Sodium Nitrite.]",,,,,,,,,,,,,,,,,,,,,,,,
Grilled Chicken Strips,,,,,,X,,X,distilled,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,X,,,,"Tyson Red Label Seasoned Cooked Grilled Chicken Breast Strip {Boneless, Skinless Chicken Breast Strips with Rib Meat, Water, Modified Food Starch, Seasoning [Maltodextrin, Salt, Sugar, Flavors, Vegetable Stock (Carrot, Onion, Celery), Carrot Powder, Garlic Powder], Vinegar, Sodium Phosphates, Salt.}",,,,,,,,,,,,,,,,,,,,,,,,
Beef Crumble,,,,,,X,,,,,,,,X,,,,,,,X,spice,"corn, soy",,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,"Hormel Beef Crumble [Smoke Flavor Added. Ingredients: Beef, Water, Textured Vegetable Protein (Soy Flour, Soy Protein Concentrate, Isolated Soy Protein, Caramel Color), Salt, Seasoning (Sugar, Spice, Hydrolyzed Corn Protein, Spice Extractive), Beef Flavor (Hydrolyzed Soy Protein, Autolyzed Yeast Extract, Beef Flavor, Grill Flavor [From Vegetable Oil], Smoke Flavor, Hydrolyzed Corn Protein, Beef Stock, Mushroom Extractives, Salt), Sodium Phosphates]. Contains: Soy",,,,,,,,,,,,,,,,,,,,,,,,
Italian Sausage,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,"Hillshire/Tyson Mild Sweet Italian Pork Sausage Crumbles [Pork, Water, Spices, Salt, Sugar, Flavoring.]", , ,   , , , , , , , ,  , , ,,, , ,,,,,,,
Pizza Sauce (2.2 oz.),,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,citric acid,,X,X,,,,X,X,,,,,,,,,,,,,"Monarch-D Marinara [Tomato Puree (Water, Tomato Paste), Diced Tomatoes, less than 2% of: Soybean Oil, Salt, Sugar, Spice, Dried Garlic, Dried Onion, Natural Flavor, Olive Oil, Citric Acid].",, ,, , ,,,,,,,,,,,,,,,,,,,
Alfredo Sauce (2oz)(artificially flavored)(spices),,,,,,X,,X,,X,,X,X,,,,,,X,,,,,,,,,,,,citric acid,,,,,,,X,,,X,,,,,,,,,,,"Angelia Mia Alfredo Sauce [Half And Half Cream (Cream, Milk), Water, Parmesan and Romano Cheeses (Pasteurized Part Skim Cow's Milk, Cheese Culture, Salt, Enzymes), Butter (Sweet Cream, Salt), Margarine (Liquid And Partially Hydrogenated Soybean Oil, Water, Salt, Vegetable Mono-And Diglycerides, Soy Lecithin, Sodium Benzoate, Citric Acid and Calcium Disodium EDTA  Added As Preservatives, Artificially Flavored, Colored With Beta Carotene, Vitamin A Palmitate Added), Modified Food Starch, Salt, Wheat Flour, Mono-Diglycerides And Datem, Spices, Garlic, Paprika, Turmeric. Contains Wheat, Milk, Soy ", , , , , , , , , , , , , , , , , , , , ,,,,
Fresh Tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,Tomatoes,,,,,,,,,,,,,,,,,,,,,,,,
Fresh  Mushrooms (3.5 oz.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mushrooms, ,, ,,,,,,,,,,,,,,,,,,,,,
Fresh Yellow Onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,Onions, ,,, ,,,,,,,,,,,,,,,,,,,,
Fresh Green and Red peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell Peppers, , , , , , , , , , , ,,,,,,,,,,,,,
Mozzarella Cheese (1 oz.),,,,,X,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,"Roseli Feather Shred Low Moisture Whole Milk Mozzarella Cheese [ Low-Moisture Mozzarella Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes), Potato Starch, Corn Starch and Powdered Cellulose (to Prevent Caking), Natamycin (a Natural Mold Inhibitor).] ",,,,,,,,,,,,,,,,,,,,,,,,
Shred Parmesan Cheese ,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,"Roseli Shredded Parmesan Cheese [Imported Parmesan Cheese: (Pasteurized Part-Skim Cow’s Milk, Cheese Cultures, Salt, Enzymes), Potato Starch and Powdered Cellulose added to prevent caking, Natamycin (A Natural Mold Inhibitor)]. Contains: Milk.", , , , , , , , , , , , ,, ,,,, ,,,,,,
